date,product_name,quantity,unit_price_cny,product_id
2021-01-01,americano,7,18.0,0
2021-01-01,bagel,2,12.0,2
2021-01-01,baguette,1,18.0,3
2021-01-01,bread_coconut,2,10.0,4
2021-01-01,bread_roll,1,6.5,5
2021-01-01,brioche,3,14.0,6
2021-01-01,cappuccino,9,22.0,7
2021-01-01,caramel_macchiato,4,26.0,8
2021-01-01,chai_latte,1,18.0,9
2021-01-01,chocopie,8,10.0,11
2021-01-01,cold_brew,1,22.0,12
2021-01-01,cornbread,9,7.0,14
2021-01-01,croissant_chocolate,1,14.0,17
2021-01-01,donut,4,6.0,18
2021-01-01,earl_grey,4,12.0,19
2021-01-01,eggtart,7,7.0,20
2021-01-01,english_breakfast,4,12.0,21
2021-01-01,espresso,6,15.0,22
2021-01-01,flat_white,2,24.0,23
2021-01-01,flatbread,3,8.0,24
2021-01-01,hot_chocolate,4,18.0,25
2021-01-01,latte,15,22.0,26
2021-01-01,lemonade,2,14.0,27
2021-01-01,matcha_latte,2,22.0,30
2021-01-01,melon_bread,2,10.0,31
2021-01-01,milk_tea,2,16.0,32
2021-01-01,mocha,2,26.0,33
2021-01-01,muffin,7,12.0,34
2021-01-01,pancake,8,13.0,35
2021-01-01,pandesal,23,5.0,36
2021-01-01,pizza_bread,20,16.0,37
2021-01-01,pullman,4,9.0,38
2021-01-01,soboru_bread,3,11.0,39
2021-01-01,sourdough,21,22.0,40
2021-01-01,stickbread,21,5.5,41
2021-01-01,waffle,5,12.0,44
2021-01-02,americano,12,18.0,0
2021-01-02,apple_pie,1,14.0,1
2021-01-02,bagel,7,12.0,2
2021-01-02,baguette,41,18.0,3
2021-01-02,bread_coconut,7,10.0,4
2021-01-02,brioche,2,14.0,6
2021-01-02,cappuccino,12,22.0,7
2021-01-02,caramel_macchiato,2,26.0,8
2021-01-02,chiffon,1,18.0,10
2021-01-02,chocopie,12,10.0,11
2021-01-02,cold_brew,2,22.0,12
2021-01-02,cookie,7,8.0,13
2021-01-02,cornbread,14,7.0,14
2021-01-02,croissant,62,12.0,16
2021-01-02,croissant_chocolate,51,14.0,17
2021-01-02,donut,9,6.0,18
2021-01-02,earl_grey,6,12.0,19
2021-01-02,eggtart,12,7.0,20
2021-01-02,english_breakfast,5,12.0,21
2021-01-02,espresso,2,15.0,22
2021-01-02,flat_white,2,24.0,23
2021-01-02,flatbread,11,8.0,24
2021-01-02,hot_chocolate,2,18.0,25
2021-01-02,latte,7,22.0,26
2021-01-02,mantequilla,4,7.5,29
2021-01-02,matcha_latte,5,22.0,30
2021-01-02,melon_bread,3,10.0,31
2021-01-02,mocha,1,26.0,33
2021-01-02,muffin,20,12.0,34
2021-01-02,pancake,7,13.0,35
2021-01-02,pandesal,33,5.0,36
2021-01-02,pizza_bread,30,16.0,37
2021-01-02,pullman,3,9.0,38
2021-01-02,soboru_bread,11,11.0,39
2021-01-02,sourdough,25,22.0,40
