date,product_id,quantity,product_id,temp_mean,temp_max,temp_min,humidity,precipitation,day_of_week,month,is_weekend,is_holiday,lag_1,lag_7_avg,lag_30_avg
2021-01-01,0,23,0,8.7,14.6,3.4,29,0.0,4,1,0,1,0.0,0.0,0.0
2021-01-02,0,37,0,11.1,17.5,5.1,29,0.0,5,1,1,1,23.0,23.0,23.0
2021-01-03,0,33,0,13.6,20.0,7.1,42,0.0,6,1,1,1,37.0,30.0,30.0
2021-01-04,0,24,0,15.6,19.4,11.9,33,0.0,0,1,0,0,33.0,31.0,31.0
2021-01-05,0,23,0,17.3,21.8,13.1,35,0.0,1,1,0,0,24.0,29.25,29.25
2021-01-06,0,31,0,14.7,19.5,9.4,45,0.0,2,1,0,0,23.0,28.0,28.0
2021-01-07,0,30,0,10.9,14.6,5.9,52,0.0,3,1,0,0,31.0,28.5,28.5
2021-01-08,0,32,0,6.5,9.5,4.7,36,0.1,4,1,0,0,30.0,28.714285714285715,28.714285714285715
2021-01-09,0,30,0,8.3,12.5,4.4,21,0.0,5,1,1,1,32.0,30.0,29.125
2021-01-10,0,30,0,10.1,12.6,7.9,22,0.0,6,1,1,1,30.0,29.0,29.22222222222222
2021-01-11,0,27,0,7.7,10.3,5.5,40,0.7,0,1,0,0,30.0,28.571428571428573,29.3
2021-01-12,0,24,0,8.6,15.2,3.1,35,0.0,1,1,0,0,27.0,29.0,29.09090909090909
2021-01-13,0,31,0,11.0,18.3,4.0,31,0.0,2,1,0,0,24.0,29.142857142857142,28.666666666666668
2021-01-14,0,27,0,13.7,20.6,7.6,37,0.0,3,1,0,0,31.0,29.142857142857142,28.846153846153847
2021-01-15,0,25,0,15.8,22.0,8.7,53,0.0,4,1,0,0,27.0,28.714285714285715,28.714285714285715
2021-01-16,0,30,0,17.2,22.9,9.3,52,0.0,5,1,1,1,25.0,27.714285714285715,28.466666666666665
2021-01-17,0,29,0,14.5,17.8,10.6,39,0.0,6,1,1,1,30.0,27.714285714285715,28.5625
2021-01-18,0,25,0,11.8,17.5,7.4,40,0.0,0,1,0,0,29.0,27.571428571428573,28.58823529411765
2021-01-19,0,32,0,13.5,19.8,8.0,42,0.0,1,1,0,0,25.0,27.285714285714285,28.38888888888889
2021-01-20,0,28,0,18.0,22.9,13.2,54,0.0,2,1,0,0,32.0,28.428571428571427,28.57894736842105
2021-01-21,0,27,0,18.7,22.6,15.1,75,1.6,3,1,0,0,28.0,28.0,28.55
2021-01-22,0,21,0,19.2,24.6,16.4,79,4.5,4,1,0,0,27.0,28.0,28.476190476190474
2021-01-23,0,39,0,18.4,24.0,14.1,69,0.0,5,1,1,1,21.0,27.428571428571427,28.136363636363637
2021-01-24,0,32,0,18.1,24.1,13.5,66,0.0,6,1,1,1,39.0,28.714285714285715,28.608695652173914
2021-01-25,0,31,0,19.6,24.5,15.9,67,0.0,0,1,0,0,32.0,29.142857142857142,28.75
2021-01-26,0,28,0,19.0,24.2,14.9,65,0.0,1,1,0,0,31.0,30.0,28.84
2021-01-27,0,25,0,18.1,24.0,12.4,59,0.0,2,1,0,0,28.0,29.428571428571427,28.807692307692307
2021-01-28,0,28,0,16.9,20.6,13.9,60,0.0,3,1,0,0,25.0,29.0,28.666666666666668
