week_start,product_id,category,weekly_tickets,week_of_year,month,is_holiday_week,lag_1w,lag_4w_avg,lag_8w_avg,is_day1_w,is_top3_w,discount_pct_w,is_member_week,is_new_product_w,is_competitor_w,is_rainy_w,quantity_w
2022-12-26,0,1,45,52,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2023-01-02,0,1,315,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,3
2023-01-09,0,1,315,2,1,0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,4
2023-01-16,0,1,315,3,1,1,4.0,2.6666666666666665,2.6666666666666665,1.0,0.0,0.028571428571428574,0.0,0.0,0.0,0.0,5
2023-01-23,0,1,315,4,1,1,5.0,3.25,3.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7
2023-01-30,0,1,315,5,1,0,7.0,4.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,5
2023-02-06,0,1,315,6,2,0,5.0,5.25,4.166666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,5
2023-02-13,0,1,315,7,2,0,5.0,5.5,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,5
2023-02-20,0,1,315,8,2,0,5.0,5.5,4.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2023-02-27,0,1,315,9,2,0,5.0,5.0,4.875,1.0,0.0,0.028571428571428574,1.0,0.0,0.0,0.0,7
2023-03-06,0,1,315,10,3,0,7.0,5.5,5.375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6
2023-03-13,0,1,315,11,3,0,6.0,5.75,5.625,1.0,0.0,0.05714285714285715,1.0,0.0,0.0,0.0,6
2023-03-20,0,1,315,12,3,0,6.0,6.0,5.75,1.0,0.0,0.028571428571428574,0.0,0.0,0.0,0.5714285714285714,6
2023-03-27,0,1,315,13,3,0,6.0,6.25,5.625,0.0,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,6
2023-04-03,0,1,315,14,4,1,6.0,6.0,5.75,1.0,0.0,0.028571428571428574,1.0,0.0,0.0,0.5714285714285714,7
2023-04-10,0,1,315,15,4,0,7.0,6.25,6.0,1.0,0.0,0.028571428571428574,0.0,0.0,0.0,0.42857142857142855,6
2023-04-17,0,1,315,16,4,0,6.0,6.25,6.125,0.0,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,7
2023-04-24,0,1,315,17,4,1,7.0,6.5,6.375,1.0,0.0,0.05714285714285715,1.0,0.0,0.0,0.2857142857142857,4
2023-05-01,0,1,315,18,5,1,4.0,6.0,6.0,1.0,0.0,0.028571428571428574,0.0,0.0,0.0,0.2857142857142857,6
2023-05-08,0,1,315,19,5,0,6.0,5.75,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857143,7
2023-05-15,0,1,315,20,5,0,7.0,6.0,6.125,0.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857143,9
2023-05-22,0,1,315,21,5,0,9.0,6.5,6.5,1.0,0.0,0.028571428571428574,0.0,0.0,0.0,0.42857142857142855,5
2023-05-29,0,1,315,22,5,0,5.0,6.75,6.375,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,7
2023-06-05,0,1,315,23,6,0,7.0,7.0,6.375,0.0,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,7
2023-06-12,0,1,315,24,6,0,7.0,7.0,6.5,0.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857143,5
2023-06-19,0,1,315,25,6,1,5.0,6.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,4
2023-06-26,0,1,315,26,6,0,4.0,5.75,6.25,0.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857143,6
2023-07-03,0,1,315,27,7,0,6.0,5.5,6.25,1.0,0.0,0.028571428571428574,1.0,0.0,0.0,0.42857142857142855,7
2023-07-10,0,1,315,28,7,0,7.0,5.5,6.25,1.0,0.0,0.05714285714285715,0.0,0.0,0.0,0.14285714285714285,10
2023-07-17,0,1,315,29,7,0,10.0,6.75,6.375,1.0,0.0,0.05714285714285715,1.0,0.0,0.0,0.7142857142857143,12
2023-07-24,0,1,315,30,7,0,12.0,8.75,7.25,1.0,0.0,0.05714285714285715,1.0,0.0,0.0,0.42857142857142855,13
2023-07-31,0,1,315,31,7,0,13.0,10.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,13
2023-08-07,0,1,315,32,8,0,13.0,12.0,8.75,1.0,0.0,0.08571428571428573,1.0,0.0,0.0,0.5714285714285714,14
2023-08-14,0,1,315,33,8,0,14.0,13.0,9.875,0.0,0.0,0.03536446442173886,1.0,0.0,0.0,1.0,12
2023-08-21,0,1,315,34,8,0,12.0,13.0,10.875,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,8
2023-08-28,0,1,315,35,8,0,8.0,11.75,11.125,0.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857143,7
2023-09-04,0,1,315,36,9,0,7.0,10.25,11.125,1.0,0.0,0.028571428571428574,0.0,0.0,0.0,0.5714285714285714,6
2023-09-11,0,1,315,37,9,0,6.0,8.25,10.625,1.0,0.0,0.05714285714285715,0.0,0.0,0.0,0.8571428571428571,6
2023-09-18,0,1,315,38,9,0,6.0,6.75,9.875,0.0,0.0,0.0,1.0,0.0,0.0,0.5714285714285714,7
2023-09-25,0,1,315,39,9,1,7.0,6.5,9.125,1.0,0.0,0.05714285714285715,1.0,0.0,0.0,0.42857142857142855,4
2023-10-02,0,1,315,40,10,1,4.0,5.75,8.0,1.0,0.0,0.028571428571428574,1.0,0.0,0.0,0.42857142857142855,6
