experiment,status,lr0,mosaic,batch,optimizer,epochs,pretrained,mAP50,mAP50_95,training_time_s,peak_gpu_memory_gb,top5_classes,top5_aps,bottom5_classes,bottom5_aps,error_message
lr0.01_mosaic1.0_bs16_AdamW_grid,completed,0.01,1.0,16,AdamW,30,True,0.7293,0.5768,2964.1,6.39,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""chiffon""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""white-bread"", ""monay"", ""wheat-bread"", ""spanish-bread"", ""whole-grain-bread""]","[0.3661, 0.309, 0.2991, 0.2707, 0.2616]",
lr0.01_mosaic1.0_bs16_SGD_grid,completed,0.01,1.0,16,SGD,30,True,0.872,0.7177,2637.8,6.31,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""monay"", ""flatbread"", ""white-bread"", ""whole-grain-bread"", ""wheat-bread""]","[0.741, 0.7401, 0.577, 0.5238, 0.4783]",
lr0.01_mosaic1.0_bs8_AdamW_grid,completed,0.01,1.0,8,AdamW,30,True,0.7035,0.5292,3258.9,3.34,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""monay"", ""wheat-bread"", ""white-bread"", ""spanish-bread"", ""whole-grain-bread""]","[0.3027, 0.278, 0.2483, 0.2266, 0.2071]",
lr0.01_mosaic1.0_bs8_SGD_grid,completed,0.01,1.0,8,SGD,30,True,0.8423,0.6817,3188.6,3.3,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""cornbread"", ""spanish-bread"", ""white-bread"", ""whole-grain-bread"", ""wheat-bread""]","[0.6779, 0.6317, 0.5818, 0.4626, 0.3337]",
lr0.01_mosaic0.0_bs16_AdamW_grid,completed,0.01,0.0,16,AdamW,30,True,0.6927,0.5403,2676.4,6.3,"[""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread"", ""bread_coconut""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""cornbread"", ""wheat-bread"", ""spanish-bread"", ""whole-grain-bread"", ""monay""]","[0.3119, 0.2748, 0.2367, 0.2347, 0.1966]",
lr0.01_mosaic0.0_bs16_SGD_grid,completed,0.01,0.0,16,SGD,30,True,0.8545,0.7006,2653.6,6.26,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""stickbread"", ""bread_coconut""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""cornbread"", ""monay"", ""white-bread"", ""whole-grain-bread"", ""wheat-bread""]","[0.7172, 0.6471, 0.6116, 0.5035, 0.4958]",
lr0.01_mosaic0.0_bs8_AdamW_grid,completed,0.01,0.0,8,AdamW,30,True,0.6141,0.454,3252.4,3.31,"[""eggtart"", ""melon_bread"", ""chocopie"", ""stickbread"", ""chiffon""]","[0.995, 0.995, 0.995, 0.9948, 0.9948]","[""cornbread"", ""white-bread"", ""wheat-bread"", ""monay"", ""whole-grain-bread""]","[0.2053, 0.177, 0.1328, 0.1245, 0.1061]",
lr0.01_mosaic0.0_bs8_SGD_grid,completed,0.01,0.0,8,SGD,30,True,0.8121,0.6543,3375.8,3.27,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""spanish-bread"", ""white-bread"", ""whole-grain-bread"", ""monay"", ""wheat-bread""]","[0.5902, 0.5183, 0.4582, 0.4226, 0.3902]",
lr0.005_mosaic1.0_bs16_AdamW_grid,completed,0.005,1.0,16,AdamW,30,True,0.7769,0.6187,2785.3,6.35,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""cornbread"", ""white-bread"", ""monay"", ""whole-grain-bread"", ""wheat-bread""]","[0.4707, 0.405, 0.396, 0.3332, 0.3104]",
lr0.005_mosaic1.0_bs16_SGD_grid,completed,0.005,1.0,16,SGD,30,True,0.8944,0.7389,2767.4,6.31,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""cornbread"", ""flatbread"", ""white-bread"", ""whole-grain-bread"", ""wheat-bread""]","[0.8009, 0.8002, 0.66, 0.5557, 0.5543]",
lr0.005_mosaic1.0_bs8_AdamW_grid,completed,0.005,1.0,8,AdamW,30,True,0.7342,0.5794,4092.5,3.3,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""chiffon""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""white-bread"", ""cornbread"", ""spanish-bread"", ""whole-grain-bread"", ""wheat-bread""]","[0.409, 0.3653, 0.334, 0.3169, 0.26]",
lr0.005_mosaic1.0_bs8_SGD_grid,completed,0.005,1.0,8,SGD,30,True,0.8732,0.7116,3555.2,3.3,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""monay"", ""spanish-bread"", ""white-bread"", ""whole-grain-bread"", ""wheat-bread""]","[0.775, 0.7099, 0.5908, 0.4944, 0.3499]",
lr0.005_mosaic0.0_bs16_AdamW_grid,completed,0.005,0.0,16,AdamW,30,True,0.728,0.5729,3410.5,6.3,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""white-bread"", ""whole-grain-bread"", ""spanish-bread"", ""wheat-bread"", ""monay""]","[0.3776, 0.3246, 0.3157, 0.2949, 0.2426]",
lr0.005_mosaic0.0_bs16_SGD_grid,completed,0.005,0.0,16,SGD,30,True,0.8816,0.7279,3093.9,6.26,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""cornbread"", ""monay"", ""white-bread"", ""whole-grain-bread"", ""wheat-bread""]","[0.7917, 0.741, 0.682, 0.5977, 0.4608]",
lr0.005_mosaic0.0_bs8_AdamW_grid,completed,0.005,0.0,8,AdamW,30,True,0.6757,0.5194,3459.0,3.31,"[""eggtart"", ""melon_bread"", ""chocopie"", ""stickbread"", ""chiffon""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""cornbread"", ""white-bread"", ""spanish-bread"", ""monay"", ""whole-grain-bread""]","[0.2744, 0.2659, 0.2443, 0.175, 0.1743]",
lr0.005_mosaic0.0_bs8_SGD_grid,completed,0.005,0.0,8,SGD,30,True,0.848,0.6884,3285.6,3.27,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""flatbread"", ""pandesal"", ""whole-grain-bread"", ""white-bread"", ""wheat-bread""]","[0.7324, 0.7219, 0.5842, 0.4909, 0.4107]",
lr0.001_mosaic1.0_bs16_AdamW_grid,completed,0.001,1.0,16,AdamW,30,True,0.8457,0.693,2727.2,6.35,"[""eggtart"", ""cream_horn"", ""melon_bread"", ""chocopie"", ""stickbread""]","[0.995, 0.995, 0.995, 0.995, 0.995]","[""cornbread"", ""spanish-bread"", ""white-bread"", ""whole-grain-bread"", ""wheat-bread""]","[0.7051, 0.6355, 0.5692, 0.4983, 0.4534]",
