product_id,samples,pos,Accuracy,ROC_AUC
30,184,0,1.0,
26,184,3,0.9891,0.9024
16,184,5,0.962,0.7229
7,184,6,0.9565,0.8469
2,184,19,0.8913,0.8164
12,184,31,0.875,0.9313
41,184,45,0.8478,0.8408
4,184,14,0.8098,0.8996
31,184,69,0.7935,0.8033
33,184,64,0.7935,0.802
29,184,76,0.75,0.8166
42,184,76,0.7446,0.7994
11,184,39,0.7337,0.7503
14,184,77,0.7228,0.8079
43,184,70,0.7228,0.829
13,184,41,0.712,0.7701
6,184,65,0.7065,0.7283
44,184,36,0.6902,0.4938
40,184,12,0.6793,0.5349
39,184,28,0.6739,0.6968
17,184,69,0.6576,0.6195
15,184,62,0.6522,0.6773
18,184,77,0.6413,0.731
3,184,88,0.625,0.7472
20,184,68,0.6196,0.6152
1,184,55,0.6141,0.6573
36,184,63,0.6087,0.7159
24,184,45,0.6033,0.7296
19,184,71,0.5924,0.7181
21,184,45,0.5924,0.7025
37,184,71,0.587,0.6319
10,184,34,0.5652,0.735
8,184,50,0.5652,0.7247
22,184,46,0.5652,0.5762
23,184,45,0.5598,0.714
0,184,64,0.5598,0.677
9,184,47,0.538,0.6216
25,184,56,0.5326,0.6472
38,184,54,0.5326,0.5746
27,184,33,0.5217,0.6137
5,184,39,0.5109,0.4976
32,184,37,0.5109,0.6295
34,184,54,0.5054,0.7313
28,184,53,0.5,0.6805
35,184,51,0.4185,0.5995
