demand_decile,sample_count,avg_actual,avg_q50,avg_raw_interval_width,avg_raw_relative_width,avg_conformal_interval_width,avg_conformal_relative_width,raw_interval_coverage_pct,conformal_interval_coverage_pct,wape_pct,bias_q50_minus_actual,pre_correction_crossing_count,quantile_crossing_count
1,1611,1.1049,1.229,0.9325,0.7599,1.0,0.8217,80.8194,89.5096,23.9793,0.1241,8,0
2,1611,1.7263,1.6491,0.8699,0.5343,1.0058,0.6123,73.4947,74.8603,22.9394,-0.0772,11,0
3,1611,1.9733,1.902,0.5071,0.2675,1.0163,0.5348,84.9162,95.9652,6.6171,-0.0713,59,0
4,1611,2.0559,2.1423,0.6608,0.3054,1.0485,0.4899,87.8957,93.1719,9.0448,0.0864,296,0
5,1611,2.6853,2.6281,0.9614,0.3685,1.104,0.4217,73.5568,81.5642,14.6659,-0.0572,27,0
6,1611,3.0844,3.1141,0.96,0.3079,1.1302,0.3635,87.7095,86.0335,7.7266,0.0297,37,0
7,1611,3.7883,3.7321,1.1882,0.3193,1.212,0.3256,82.3712,81.378,9.9287,-0.0563,16,0
8,1611,5.09,5.0436,1.4695,0.2917,1.4705,0.2883,81.5642,76.7846,9.2486,-0.0464,59,0
9,1611,9.193,9.3452,3.1518,0.3322,3.312,0.3537,84.9783,81.0677,10.1419,0.1521,60,0
10,1611,23.3246,23.0342,6.2445,0.2995,6.7228,0.3209,84.1713,86.5301,7.4982,-0.2905,95,0
