product_id,product_name,sample_count,avg_actual,avg_q50,avg_raw_interval_width,avg_raw_relative_width,avg_conformal_interval_width,avg_conformal_relative_width,raw_interval_coverage_pct,conformal_interval_coverage_pct,wape_pct,bias_q50_minus_actual,pre_correction_crossing_count,quantile_crossing_count
0,americano,364,0.9451,0.9546,0.9259,0.8148,1.3906,1.3091,77.1978,81.3187,37.863,0.0096,78,0
1,apple_pie,364,10.5412,10.07,5.9944,0.5774,5.8,0.6701,76.3736,80.7692,17.5618,-0.4712,11,0
2,bagel,364,3.4121,3.3635,4.1463,1.2296,3.7992,1.2144,72.2527,71.7033,44.597,-0.0486,0,0
3,baguette,364,0.7253,0.822,0.6863,0.683,0.9996,0.9927,83.2418,72.8022,40.5774,0.0967,103,0
4,bread_coconut,364,40.5879,36.1116,31.8482,1.1119,26.8487,1.1142,76.6484,74.7253,26.6574,-4.4763,0,0
5,bread_roll,364,0.9258,0.9152,0.7889,0.7561,1.0,0.9605,80.7692,81.044,30.3208,-0.0106,63,0
6,brioche,364,3.7775,3.6674,3.5088,0.9556,3.0,0.8467,79.9451,77.1978,29.0491,-0.1101,0,0
7,brownie,364,3.033,2.9768,3.5289,1.1977,2.5997,1.0005,76.0989,67.3077,38.374,-0.0562,0,0
8,cappuccino,364,5.0412,4.9812,3.2002,0.652,2.8,0.6677,80.4945,74.4505,20.3422,-0.06,1,0
9,caramel_macchiato,364,2.8901,2.8376,3.1469,1.1145,2.8,1.0634,75.2747,72.8022,36.2778,-0.0525,0,0
10,chai_latte,364,0.8544,0.8696,0.6938,0.6799,0.9999,0.9815,82.6923,80.4945,31.0049,0.0152,96,0
11,chiffon,364,0.761,0.8354,0.7418,0.7292,1.1975,1.1828,79.3956,76.9231,40.1391,0.0744,99,0
12,chocolate_cake,364,6.772,6.6685,3.7592,0.5718,4.6,0.7804,80.7692,90.1099,16.1397,-0.1034,0,0
13,chocopie,364,2.4753,2.5162,1.7197,0.686,2.2,0.9085,79.1209,84.0659,26.1064,0.0409,7,0
14,cold_brew,364,9.2912,8.1458,9.6894,1.2508,10.3697,1.4781,73.9011,77.7473,40.2803,-1.1454,0,0
15,cookie,364,2.5412,2.5915,1.8048,0.6892,2.0,0.8009,77.4725,79.6703,25.8636,0.0502,3,0
16,cornbread,364,1.1126,1.1003,1.4115,1.185,1.5842,1.3918,81.3187,79.6703,45.1483,-0.0123,16,0
17,cream_horn,364,1.3352,1.3348,1.9546,1.3095,2.379,1.8069,76.6484,83.2418,58.2107,-0.0004,30,0
18,croissant,364,2.0989,2.1192,2.2168,1.0533,2.2,1.0829,82.6923,80.4945,32.8232,0.0203,0,0
19,croissant_chocolate,364,5.3764,5.262,3.4089,0.6617,3.0,0.7004,76.3736,73.6264,21.5553,-0.1144,1,0
20,donut,364,5.9753,5.6199,7.0882,1.3016,7.2959,1.4585,70.8791,73.3516,45.0355,-0.3554,0,0
21,earl_grey,364,2.5549,2.5558,2.8527,1.132,2.2,0.9269,79.9451,68.4066,35.1886,0.0008,0,0
22,eggtart,364,0.9011,0.8925,0.6732,0.6567,0.9999,0.9816,82.4176,85.989,24.4321,-0.0086,117,0
23,english_breakfast,364,3.2967,3.2215,3.1634,0.9957,2.8,1.0039,79.3956,76.6484,29.7778,-0.0752,0,0
24,espresso,364,3.9973,3.9892,2.5828,0.6474,2.6,0.7365,77.7473,74.7253,22.0933,-0.008,2,0
25,flat_white,364,4.7857,4.7946,3.0415,0.6328,3.4,0.7938,78.2967,85.4396,19.5906,0.0089,1,0
26,flatbread,364,7.6484,6.8463,9.1387,1.4154,8.5886,1.4839,74.7253,77.4725,43.4604,-0.802,1,0
27,hot_chocolate,364,1.3022,1.2439,1.5884,1.2703,1.5985,1.3138,83.2418,80.7692,36.4889,-0.0583,1,0
28,latte,364,0.783,0.8269,0.6379,0.6356,1.1962,1.1918,82.4176,82.967,32.5672,0.044,135,0
29,lemonade,364,0.8462,0.8499,0.6446,0.6406,0.9996,0.9935,76.6484,84.0659,27.818,0.0037,131,0
30,macaron,364,57.1951,49.208,45.968,1.3099,42.9695,1.7206,72.8022,78.022,29.4892,-7.9871,4,0
31,mantequilla,364,45.4753,39.1529,36.1958,1.2207,33.6104,1.4678,71.7033,73.3516,31.7529,-6.3224,2,0
32,matcha_latte,364,1.1126,1.0801,1.3246,1.1546,1.5875,1.4146,81.5934,82.1429,37.5233,-0.0325,14,0
33,melon_bread,364,15.2005,12.0953,15.1014,1.3737,17.5286,1.7334,67.033,76.0989,43.4523,-3.1052,2,0
34,milk_tea,364,0.9808,0.9594,0.8496,0.8068,1.0,0.958,84.0659,84.6154,25.1495,-0.0214,77,0
35,mocha,364,0.8819,0.9226,0.9047,0.8184,1.0,0.9502,79.9451,70.0549,41.2982,0.0408,84,0
36,muffin,364,2.522,2.5342,1.8624,0.7346,2.2,0.9083,79.9451,85.989,23.3616,0.0122,7,0
37,pancake,364,1.7637,1.7207,2.8046,1.6321,2.7033,1.6875,76.0989,76.6484,59.0055,-0.0431,0,0
38,pandesal,364,2.5082,2.5403,1.8056,0.7099,2.2,0.903,78.2967,84.8901,24.3246,0.0321,6,0
39,pizza_bread,364,4.6099,4.5631,3.0796,0.6714,3.0,0.7226,82.967,85.4396,18.7677,-0.0468,2,0
40,pullman,364,2.5082,2.5459,1.7463,0.6892,2.2,0.9079,79.6703,85.1648,23.737,0.0377,4,0
41,soboru_bread,364,0.8214,0.8556,0.6489,0.6417,0.9997,0.9923,70.6044,81.5934,30.2701,0.0341,134,0
42,sourdough,364,3.7473,3.7573,2.3185,0.5942,2.8,0.8117,81.8681,89.011,19.3902,0.0101,7,0
43,stickbread,364,10.3544,10.0635,5.8824,0.5697,5.8,0.6683,80.2198,79.6703,17.6061,-0.2909,2,0
44,tostada,364,3.011,3.0196,2.0612,0.7075,1.8,0.667,74.1758,69.2308,24.0809,0.0087,4,0
