product_id,samples,coverage_80,avg_width
28,184,0.9783,6.33
8,184,0.9674,4.82
27,184,0.9565,1.81
21,184,0.9511,1.15
34,184,0.9402,1.68
0,184,0.9348,4.86
16,184,0.9076,0.71
38,184,0.8967,1.78
14,184,0.8913,3.05
43,184,0.875,4.35
4,184,0.8696,1.02
23,184,0.8696,1.19
25,184,0.8641,1.1
35,184,0.8478,2.0
41,184,0.837,0.7
39,184,0.8315,1.27
40,184,0.8261,0.92
24,184,0.8043,2.06
30,184,0.7935,0.63
42,184,0.788,2.89
29,184,0.7772,1.46
9,184,0.7717,1.16
26,184,0.7609,0.65
10,184,0.7554,1.23
11,184,0.75,1.47
5,184,0.7446,3.25
7,184,0.7446,0.62
13,184,0.7446,2.11
17,184,0.7337,13.51
2,184,0.7228,0.83
32,184,0.7228,1.93
20,184,0.7174,22.66
3,184,0.712,38.8
36,184,0.712,3.34
37,184,0.7065,14.49
6,184,0.6902,3.63
12,184,0.6902,1.25
31,184,0.6902,1.08
44,184,0.6793,0.61
19,184,0.6739,45.51
15,184,0.6739,9.53
33,184,0.663,1.1
22,184,0.6522,2.32
18,184,0.6359,51.05
1,184,0.6141,4.05
