product_id,samples,weekly_wape
0,26,3.5
28,26,3.7
8,26,4.3
34,26,4.7
35,26,5.0
27,26,5.0
32,26,5.1
23,26,5.5
9,26,5.8
21,26,6.3
24,26,6.5
29,26,6.6
25,26,6.8
10,26,6.9
14,26,7.3
30,26,9.3
41,26,11.5
26,26,11.7
44,26,11.9
16,26,12.5
7,26,13.4
5,26,13.4
39,26,13.6
33,26,13.7
13,26,14.4
40,26,14.6
4,26,16.9
42,26,17.0
2,26,18.9
38,26,19.4
20,26,19.8
37,26,19.8
17,26,19.9
43,26,19.9
36,26,20.0
1,26,20.3
31,26,20.7
12,26,23.2
22,26,23.3
11,26,23.5
3,26,25.5
15,26,26.5
6,26,28.8
19,26,29.0
18,26,29.2
